Time [s],Value,Parity Error,Framing Error
79.809565100,0x112,,
79.810711000,0x012,,
80.014578600,0x112,,
80.015724500,0x012,,
80.219696200,0x130,,
80.220842100,0x030,,
80.244593700,0x112,,
80.245739600,0x012,,
80.429710000,0x112,,
80.430855900,0x012,,
80.634723500,0x112,,
80.635869400,0x012,,
80.839736900,0x112,,
80.840882900,0x012,,
81.044750400,0x112,,
81.045896300,0x012,,
81.249763900,0x112,,
81.250909800,0x012,,
81.454777300,0x112,,
81.455923200,0x012,,
81.659790800,0x112,,
81.660936700,0x012,,
81.764797700,0x108,,
81.765943600,0x008,,
81.869804600,0x112,,
81.870950500,0x012,,
82.074818100,0x112,,
82.075964000,0x012,,
82.279831500,0x112,,
82.280977400,0x012,,
82.484845000,0x112,,
82.485990900,0x012,,
82.689858500,0x112,,
82.691004400,0x012,,
82.794865300,0x130,,
82.796011300,0x030,,
82.899872200,0x112,,
82.901018200,0x012,,
83.104885700,0x112,,
83.106031600,0x012,,
83.309899200,0x112,,
83.311045100,0x012,,
83.514912600,0x112,,
83.516058600,0x012,,
83.719926100,0x112,,
83.721072000,0x012,,
83.924939600,0x112,,
83.926085500,0x012,,
84.129953000,0x112,,
84.131099000,0x012,,
84.334966500,0x108,,
84.336112400,0x008,,
84.359968200,0x112,,
84.361114100,0x012,,
84.544980300,0x112,,
84.546126200,0x012,,
84.749993800,0x112,,
84.751139700,0x012,,
84.955007200,0x112,,
84.956153100,0x012,,
85.160020700,0x112,,
85.161166600,0x012,,
85.365034200,0x130,,
85.366180100,0x030,,
85.390035800,0x112,,
85.391181700,0x012,,
85.575048000,0x112,,
85.576193900,0x012,,
85.780061400,0x112,,
85.781207400,0x012,,
85.985179100,0x112,,
85.986325000,0x012,,
86.190192600,0x112,,
86.191338500,0x012,,
86.395206000,0x112,,
86.396351900,0x012,,
86.600219500,0x112,,
86.601365400,0x012,,
86.805233000,0x112,,
86.806378900,0x012,,
86.910239900,0x108,,
86.911385800,0x008,,
87.015246800,0x112,,
87.016392700,0x012,,
87.220260200,0x112,,
