Time[s], 通道 0, 通道 1
85.9866375, 1, 1
85.9868470, 0, 1
85.9869500, 1, 1
85.9873678, 0, 1
85.9901032, 0, 0
85.9910473, 0, 1
85.9910474, 0, 0
85.9910475, 0, 1
86.1901926, 1, 1
86.1904020, 0, 1
86.1905051, 1, 1
86.1907145, 0, 1
86.1908176, 1, 1
86.1911312, 0, 1
86.1913385, 1, 1
86.1915480, 0, 1
86.1916510, 1, 1
86.1918605, 0, 1
86.1919635, 1, 1
86.1923813, 0, 1
86.1951293, 0, 0
86.1960734, 0, 1
86.3952060, 1, 1
86.3954155, 0, 1
86.3955185, 1, 1
86.3957280, 0, 1
86.3958311, 1, 1
86.3961447, 0, 1
86.3963519, 1, 1
86.3965614, 0, 1
86.3966645, 1, 1
86.3968739, 0, 1
86.3969770, 1, 1
86.3973947, 0, 1
86.4001359, 0, 0
86.4010799, 0, 1
86.4010800, 0, 0
86.4010801, 0, 1
86.6002195, 1, 1
86.6004290, 0, 1
86.6005320, 1, 1
86.6007415, 0, 1
86.6008445, 1, 1
86.6011582, 0, 1
86.6013654, 1, 1
86.6015748, 0, 1
86.6016779, 1, 1
86.6018874, 0, 1
86.6019904, 1, 1
86.6024082, 0, 1
86.6051685, 0, 0
86.6061125, 0, 1
86.6061126, 0, 0
86.6061127, 0, 1
86.8052330, 1, 1
86.8054425, 0, 1
86.8055455, 1, 1
86.8057550, 0, 1
86.8058580, 1, 1
86.8061717, 0, 1
86.8063789, 1, 1
86.8065883, 0, 1
86.8066914, 1, 1
86.8069008, 0, 1
86.8070039, 1, 1
86.8074217, 0, 1
86.8101557, 0, 0
86.8110996, 0, 1
86.8110997, 0, 0
86.8110998, 0, 1
86.9102399, 1, 1
86.9106577, 0, 1
86.9107607, 1, 1
86.9111785, 0, 1
86.9113858, 1, 1
86.9118035, 0, 1
86.9119066, 1, 1
86.9124287, 0, 1
87.0152468, 1, 1
87.0154562, 0, 1
87.0155593, 1, 1
87.0157687, 0, 1
87.0158718, 1, 1
87.0161854, 0, 1
87.0163927, 1, 1
87.0166022, 0, 1
87.0167052, 1, 1
87.0169147, 0, 1
87.0170177, 1, 1
87.0174355, 0, 1
87.0201745, 0, 0
87.0211184, 0, 1
87.0211185, 0, 0
87.0211186, 0, 1
87.2202602, 1, 1
87.2204697, 0, 1
87.2205728, 1, 1
87.2207822, 0, 1
87.2208853, 1, 1
87.2211989, 0, 1
87.2214061, 1, 1
87.2216156, 0, 1
87.2217187, 1, 1
87.2219282, 0, 1
87.2220312, 1, 1
87.2224490, 0, 1
87.2251811, 0, 0
87.2261251, 0, 1
87.2261253, 0, 0
87.2261254, 0, 1
87.4252737, 1, 1
87.4254832, 0, 1
87.4255862, 1, 1
87.4257957, 0, 1
87.4258987, 1, 1
87.4262124, 0, 1
87.4264196, 1, 1
87.4266290, 0, 1
87.4267321, 1, 1
87.4269415, 0, 1
87.4270447, 1, 1
87.4274624, 0, 1
87.4301942, 0, 0
87.4311381, 0, 1
87.4311382, 0, 0
87.4311383, 0, 1
87.6302872, 1, 1
87.6304967, 0, 1
87.6305997, 1, 1
87.6308092, 0, 1
87.6309122, 1, 1
87.6312258, 0, 1
87.6314331, 1, 1
87.6316425, 0, 1
87.6317456, 1, 1
87.6319550, 0, 1
87.6320581, 1, 1
87.6324759, 0, 1
87.6352073, 0, 0
87.6361513, 0, 1
87.6361514, 0, 0
87.6361515, 0, 1
87.8353006, 1, 1
87.8355100, 0, 1
87.8356132, 1, 1
87.8358226, 0, 1
87.8359257, 1, 1
87.8362393, 0, 1
87.8364466, 1, 1
87.8366560, 0, 1
87.8367591, 1, 1
87.8369685, 0, 1
87.8370716, 1, 1
87.8374894, 0, 1
87.8402334, 0, 0
87.8411775, 0, 1
87.8411776, 0, 0
87.8411777, 0, 1
87.9403075, 1, 1
87.9408295, 0, 1
87.9410368, 1, 1
87.9412462, 0, 1
87.9414535, 1, 1
87.9419754, 0, 1
87.9421827, 1, 1
87.9424962, 0, 1
88.0453144, 1, 1
88.0455239, 0, 1
88.0456270, 1, 1
88.0458364, 0, 1
88.0459395, 1, 1
88.0462532, 0, 1
88.0464604, 1, 1
88.0466698, 0, 1
88.0467729, 1, 1
88.0469823, 0, 1
88.0470854, 1, 1
88.0475032, 0, 1
88.0502457, 0, 0
88.0511898, 0, 1
88.0511899, 0, 0
88.0511900, 0, 1
88.2503279, 1, 1
88.2505374, 0, 1
88.2506404, 1, 1
88.2508499, 0, 1
88.2509530, 1, 1
88.2512665, 0, 1
88.2514738, 1, 1
88.2516832, 0, 1
88.2517863, 1, 1
88.2519958, 0, 1
88.2520989, 1, 1
88.2525167, 0, 1
88.2563185, 0, 0
88.2572625, 0, 1
88.2572626, 0, 0
88.2572627, 0, 1
88.4553414, 1, 1
88.4555508, 0, 1
88.4556539, 1, 1
88.4558633, 0, 1
88.4559664, 1, 1
88.4562800, 0, 1
88.4564873, 1, 1
88.4566967, 0, 1
88.4567998, 1, 1
88.4570093, 0, 1
88.4571123, 1, 1
88.4575302, 0, 1
88.4602915, 0, 0
88.4612354, 0, 1
88.4612355, 0, 0
88.4612356, 0, 1
88.6603549, 1, 1
88.6605643, 0, 1
88.6606674, 1, 1
88.6608768, 0, 1
88.6609799, 1, 1
88.6612935, 0, 1
88.6615008, 1, 1
88.6617102, 0, 1
88.6618133, 1, 1
88.6620228, 0, 1
88.6621258, 1, 1
88.6625436, 0, 1
88.6653046, 0, 0
88.6662486, 0, 1
88.6662488, 0, 0
88.6662489, 0, 1
88.8653683, 1, 1
88.8655778, 0, 1
88.8656809, 1, 1
88.8658903, 0, 1
88.8659934, 1, 1
88.8663070, 0, 1
88.8665142, 1, 1
88.8667236, 0, 1
88.8668268, 1, 1
88.8670363, 0, 1
88.8671393, 1, 1
88.8675571, 0, 1
88.8702982, 0, 0
88.8712422, 0, 1
88.8712423, 0, 0
88.8712425, 0, 1
89.0703818, 1, 1
89.0705913, 0, 1
89.0706943, 1, 1
89.0709038, 0, 1
89.0710068, 1, 1
89.0713205, 0, 1
89.0715277, 1, 1
89.0717371, 0, 1
89.0718402, 1, 1
89.0720496, 0, 1
89.0721528, 1, 1
89.0725706, 0, 1
89.0753178, 0, 0
89.0762619, 0, 1
89.2753953, 1, 1
89.2756047, 0, 1
89.2757078, 1, 1
89.2759172, 0, 1
89.2760203, 1, 1
89.2763339, 0, 1
89.2765412, 1, 1
89.2767506, 0, 1
89.2768537, 1, 1
89.2770631, 0, 1
89.2771662, 1, 1
89.2775841, 0, 1
89.2803374, 0, 0
89.2812814, 0, 1
89.2812815, 0, 0
89.2812816, 0, 1
89.4804088, 1, 1
89.4808266, 0, 1
89.4809296, 1, 1
89.4813474, 0, 1
89.4815547, 1, 1
89.4819724, 0, 1
89.4820755, 1, 1
89.4825974, 0, 1
89.5054104, 1, 1
89.5056199, 0, 1
89.5057229, 1, 1
89.5059324, 0, 1
89.5060354, 1, 1
89.5063491, 0, 1
89.5065563, 1, 1
89.5067657, 0, 1
89.5068688, 1, 1
89.5070782, 0, 1
89.5071813, 1, 1
89.5075991, 0, 1
89.5103531, 0, 0
89.5112970, 0, 1
89.5112971, 0, 0
89.5112972, 0, 1
89.6904226, 1, 1
89.6906320, 0, 1
89.6907351, 1, 1
89.6909445, 0, 1
89.6910476, 1, 1
89.6913612, 0, 1
89.6915685, 1, 1
89.6917779, 0, 1
89.6918810, 1, 1
89.6920904, 0, 1
89.6921935, 1, 1
89.6926113, 0, 1
89.6953174, 0, 0
89.6962612, 0, 1
89.6962613, 0, 0
89.6962614, 0, 1
89.6962616, 0, 0
89.6962617, 0, 1
89.8954360, 1, 1
89.8956455, 0, 1
89.8957485, 1, 1
89.8959580, 0, 1
89.8960611, 1, 1
89.8963747, 0, 1
89.8965819, 1, 1
89.8967914, 0, 1
89.8968945, 1, 1
89.8971039, 0, 1
89.8972070, 1, 1
89.8976247, 0, 1
89.9003565, 0, 0
89.9013003, 0, 1
89.9013004, 0, 0
89.9013006, 0, 1
89.9013007, 0, 0
89.9013008, 0, 1
90.1004495, 1, 1
90.1006590, 0, 1
90.1007620, 1, 1
90.1009715, 0, 1
90.1010745, 1, 1
90.1013882, 0, 1
90.1015954, 1, 1
90.1018048, 0, 1
90.1019079, 1, 1
90.1021174, 0, 1
90.1022205, 1, 1
90.1026382, 0, 1
90.1053826, 0, 0
90.1063265, 0, 1
90.1063266, 0, 0
90.1063267, 0, 1
90.3054630, 1, 1
90.3056725, 0, 1
90.3057755, 1, 1
90.3059850, 0, 1
90.3060880, 1, 1
90.3064016, 0, 1
90.3066089, 1, 1
90.3068183, 0, 1
90.3069214, 1, 1
90.3071308, 0, 1
90.3072339, 1, 1
90.3076517, 0, 1
90.3103892, 0, 0
90.3113333, 0, 1
90.5104764, 1, 1
90.5109984, 0, 1
90.5112057, 1, 1
90.5114151, 0, 1
90.5116224, 1, 1
90.5121443, 0, 1
90.5123516, 1, 1
90.5126651, 0, 1
90.5354781, 1, 1
90.5356876, 0, 1
90.5357906, 1, 1
90.5360001, 0, 1
90.5361031, 1, 1
90.5364168, 0, 1
90.5366240, 1, 1
90.5368334, 0, 1
90.5369365, 1, 1
90.5371460, 0, 1
90.5372490, 1, 1
90.5376668, 0, 1
90.5403984, 0, 0
90.5413422, 0, 1
90.5413423, 0, 0
90.5413424, 0, 1
90.5413426, 0, 0
90.5413427, 0, 1
90.7204903, 1, 1
90.7206997, 0, 1
90.7208028, 1, 1
90.7210123, 0, 1
90.7211153, 1, 1
90.7214289, 0, 1
90.7216362, 1, 1
90.7218456, 0, 1
90.7219487, 1, 1
90.7221581, 0, 1
90.7222612, 1, 1
90.7226790, 0, 1
90.7254472, 0, 0
90.7263912, 0, 1
90.7263914, 0, 0
90.7263915, 0, 1
90.9255037, 1, 1
90.9257132, 0, 1
90.9258162, 1, 1
90.9260257, 0, 1
90.9261288, 1, 1
90.9264424, 0, 1
90.9266496, 1, 1
90.9268591, 0, 1
90.9269622, 1, 1
90.9271716, 0, 1
90.9272747, 1, 1
90.9276924, 0, 1
90.9304408, 0, 0
90.9313846, 0, 1
90.9313847, 0, 0
90.9313848, 0, 1
90.9313850, 0, 0
90.9313851, 0, 1
91.1305172, 1, 1
91.1307267, 0, 1
91.1308297, 1, 1
91.1310392, 0, 1
91.1311422, 1, 1
91.1314559, 0, 1
91.1316631, 1, 1
91.1318725, 0, 1
91.1319756, 1, 1
91.1321851, 0, 1
91.1322882, 1, 1
91.1327059, 0, 1
91.1354474, 0, 0
91.1363914, 0, 1
91.1363915, 0, 0
91.1363916, 0, 1
91.3355307, 1, 1
91.3357401, 0, 1
91.3358432, 1, 1
91.3360527, 0, 1
91.3361557, 1, 1
91.3364693, 0, 1
91.3366766, 1, 1
91.3368860, 0, 1
91.3369891, 1, 1
91.3371985, 0, 1
91.3373016, 1, 1
91.3377194, 0, 1
91.3404605, 0, 0
91.3414044, 0, 1
91.3414045, 0, 0
91.3414046, 0, 1
91.5405441, 1, 1
91.5407536, 0, 1
91.5408567, 1, 1
91.5410661, 0, 1
91.5411692, 1, 1
91.5414828, 0, 1
91.5416901, 1, 1
91.5418995, 0, 1
91.5420026, 1, 1
91.5422120, 0, 1
91.5423151, 1, 1
91.5427328, 0, 1
